id,boat_name,skipper,vessel_make,vessel_model,mmsi,mmsi_confidence,phrf_lis,phrf_orc_aph,events,active,race_class
c113,Tynaje,Daniel Fisher,Ohlson,38,,not_found,144.0,,ALIR2026,YES,Spinnaker ToD/ToT
c114,Valiant YCC,Stamford YC Juniors,J Boats,J/105,,not_found,75.0,,ALIR2026,YES,Spinnaker ToD/ToT
c115,Velocita,Marc De Souter,J Boats,J/109,,not_found,69.0,,ALIR2026,YES,Spinnaker ToD/ToT
c116,WANDERER,Stefano Basilico,Hanse,458,,not_found,60.0,,ALIR2026,YES,Spinnaker ToD/ToT
c117,Zammermoos,David Fass,ClubSwan,42,,not_found,-15.0,,ALIR2026,YES,Spinnaker ToD/ToT
c118,Halve Maen,Walther van Stipriaan,Tartan,33,,not_found,156.0,,ALIR2026,YES,Double-Handed
c120,Three Little Birds,Peter Malloy,Farrier,PT11 Trimaran,,not_found,-25,,ALIR2026,YES,Multihull
c122,Nomad,Shane Haas,Hunter,41DS,,not_found,174.0,,ALIR2026,YES,Around Islands - Spinnaker
c123,Kitli,Darshan Patel,Sabre,34-2,338072036,probable,156.0,,ALIR2026,YES,Non-Spinnaker
c124,Yopo,Artur Jasinski,Contest,30,,not_found,222.0,,ALIR2026,NO,Non-Spinnaker
