# Midnight Rider — End-to-End Data Flow Trace Log
# Format: [TIMESTAMP] [FLOW] SOURCE→DEST: description
[2026-06-14T23:23:45.117233] [INIT] data-flow.log initialized
[2026-06-19T18:27:33.801Z] [FLOW] Compass→SK: headingTrue=249.9deg [signalk-heading-true-calculator]
[2026-06-19T18:27:33.976Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:27:33.978Z] [FLOW] Compass→SK: headingTrue=249.8deg [signalk-heading-true-calculator]
[2026-06-19T18:27:34.876Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:27:34.878Z] [FLOW] Compass→SK: headingTrue=249.5deg [signalk-heading-true-calculator]
[2026-06-19T18:27:35.747Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:27:35.748Z] [FLOW] Compass→SK: headingTrue=249.2deg [signalk-heading-true-calculator]
[2026-06-19T18:27:36.647Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:27:36.649Z] [FLOW] Compass→SK: headingTrue=249.0deg [signalk-heading-true-calculator]
[2026-06-19T18:27:36.767Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:27:36.768Z] [FLOW] Compass→SK: headingTrue=249.0deg [signalk-heading-true-calculator]
[2026-06-19T18:27:36.857Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:27:36.859Z] [FLOW] Compass→SK: headingTrue=248.9deg [signalk-heading-true-calculator]
[2026-06-19T18:27:37.367Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:27:37.368Z] [FLOW] Compass→SK: headingTrue=248.7deg [signalk-heading-true-calculator]
[2026-06-19T18:27:37.457Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:27:37.459Z] [FLOW] Compass→SK: headingTrue=248.7deg [signalk-heading-true-calculator]
[2026-06-19T18:27:37.847Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:27:37.849Z] [FLOW] Compass→SK: headingTrue=248.7deg [signalk-heading-true-calculator]
[2026-06-19T18:27:38.087Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:27:38.089Z] [FLOW] Compass→SK: headingTrue=248.7deg [signalk-heading-true-calculator]
[2026-06-19T18:27:38.177Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:27:38.179Z] [FLOW] Compass→SK: headingTrue=248.7deg [signalk-heading-true-calculator]
[2026-06-19T18:27:38.867Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
[2026-06-19T18:27:38.869Z] [FLOW] Compass→SK: headingTrue=248.4deg [signalk-heading-true-calculator]
[2026-06-19T18:27:39.228Z] [FLOW] J30→SK: leeway=0.0deg [signalk-j30-leeway]
